Route_State,Total_Shipments,Avg_Lead_time,Std_Lead_time,Efficiency_Score
Lot's O' Nuts → Oklahoma,41,1282.6829268292684,237.45077795454688,0.4882025450689289
Lot's O' Nuts → Ontario,28,1246.2857142857142,261.42187518529664,0.5376552795031057
Lot's O' Nuts → Oregon,77,1245.1948051948052,269.8786295902309,0.5391374929418408
Lot's O' Nuts → Pennsylvania,331,1315.0634441087614,260.4839648858407,0.4442072770261395
Lot's O' Nuts → Prince Edward Island,6,1395.8333333333333,298.67468367216304,0.334465579710145
Lot's O' Nuts → Quebec,24,1334.125,298.5522039413893,0.41830842391304346
Lot's O' Nuts → Rhode Island,30,1296.9,301.97857311519607,0.4688858695652173
Lot's O' Nuts → South Carolina,21,1290.2857142857142,244.66183659433747,0.47787267080745355
Lot's O' Nuts → South Dakota,9,1477.2222222222222,322.71960653862425,0.22388285024154597
Lot's O' Nuts → Tennessee,109,1390.9633027522937,257.7163214554842,0.3410824690865575
Lot's O' Nuts → Texas,569,1310.4604569420035,260.3438522587886,0.4504613356766257
Lot's O' Nuts → Utah,29,1236.0,298.2197176579711,0.5516304347826086
Lot's O' Nuts → Vermont,5,1492.4,200.2855461584784,0.20326086956521727
Lot's O' Nuts → Virginia,109,1229.48623853211,262.0086093679799,0.5604806541683287
Lot's O' Nuts → Washington,269,1343.9628252788104,274.9753152303269,0.4049418134798771
Lot's O' Nuts → West Virginia,2,1637.0,2.8284271247461903,0.006793478260869512
Lot's O' Nuts → Wisconsin,58,1367.6379310344828,242.37941102097005,0.3727745502248875
Lot's O' Nuts → Wyoming,1,1274.0,,0.5
Secret Factory → Alabama,3,1272.3333333333333,366.50011368802245,0.5022644927536233
Secret Factory → Alberta,2,1274.5,516.8950570473662,0.4993206521739131
Secret Factory → Arizona,5,1127.4,327.5306092566006,0.6991847826086955
Secret Factory → Arkansas,2,1456.5,259.50818869546293,0.25203804347826086
Secret Factory → California,31,1308.2903225806451,288.2563897584216,0.4534098877980365
Secret Factory → Colorado,7,1376.5714285714287,178.94306090938275,0.3606366459627328
Secret Factory → Connecticut,1,1638.0,,0.005434782608695676
Secret Factory → Delaware,1,909.0,,0.9959239130434783
Secret Factory → Florida,7,1482.142857142857,196.2603955390462,0.21719720496894412
Secret Factory → Georgia,7,1377.857142857143,347.5103972408252,0.358889751552795
Secret Factory → Illinois,13,1328.6923076923076,360.0334208133519,0.42568979933110374
Secret Factory → Indiana,4,1456.25,209.86880822710808,0.2523777173913043
Secret Factory → Kentucky,2,1637.5,0.7071067811865476,0.006114130434782594
Secret Factory → Louisiana,2,908.5,0.7071067811865476,0.9966032608695652
Secret Factory → Maryland,3,1517.6666666666667,211.02685453120256,0.1689311594202898
Secret Factory → Massachusetts,2,1455.0,260.2152954766495,0.25407608695652173
Secret Factory → Michigan,5,1346.2,306.52438728427467,0.4019021739130434
Secret Factory → Minnesota,1,909.0,,0.9959239130434783
Secret Factory → Mississippi,1,908.0,,0.9972826086956522
Secret Factory → Nebraska,1,906.0,,1.0
Secret Factory → Nevada,2,1091.0,261.6295090390226,0.7486413043478262
Secret Factory → New Hampshire,1,1641.0,,0.0013586956521739468
Secret Factory → New Jersey,2,1274.5,2.1213203435596424,0.4993206521739131
Secret Factory → New Mexico,2,906.0,2.8284271247461903,1.0
Secret Factory → New York,24,1379.625,274.4296555942256,0.3564877717391305
Secret Factory → North Carolina,4,1548.0,181.3560034848585,0.12771739130434778
Secret Factory → Ohio,13,1301.2307692307693,314.9267517604038,0.4630016722408026
Secret Factory → Oregon,2,1271.5,0.7071067811865476,0.5033967391304348
Secret Factory → Pennsylvania,19,1311.3684210526317,295.9568682025429,0.4492276887871852
Secret Factory → Quebec,2,1273.5,516.8950570473662,0.5006793478260869
Secret Factory → Rhode Island,3,1394.3333333333333,210.16501453223214,0.3365036231884059
Secret Factory → South Carolina,1,909.0,,0.9959239130434783
Secret Factory → Tennessee,3,1395.3333333333333,211.8875487925927,0.33514492753623204
Secret Factory → Texas,16,1227.0625,323.9083139305525,0.5637737771739131
Secret Factory → Utah,1,1275.0,,0.49864130434782605
Secret Factory → Vermont,1,1273.0,,0.5013586956521738
Secret Factory → Virginia,5,1053.4,200.01949904946767,0.799728260869565
Secret Factory → Washington,11,1472.3636363636363,190.50263658399734,0.2304841897233203
Secret Factory → Wisconsin,5,1346.4,163.5735308660909,0.4016304347826086
Sugar Shack → Arizona,1,1274.0,,0.5
Sugar Shack → California,1,1638.0,,0.005434782608695676
Sugar Shack → Connecticut,1,1641.0,,0.0013586956521739468
Sugar Shack → Delaware,1,910.0,,0.9945652173913043
Sugar Shack → Florida,3,1031.0,211.31019852340302,0.8301630434782609
Sugar Shack → Illinois,2,1089.0,257.3868683519033,0.751358695652174
Sugar Shack → Michigan,3,1395.0,212.1768130592973,0.33559782608695654
Sugar Shack → New Jersey,1,1642.0,,0.0
Sugar Shack → New York,9,1314.111111111111,285.4082358852159,0.44550120772946866
Sugar Shack → Ohio,2,1637.5,3.5355339059327378,0.006114130434782594
Sugar Shack → Pennsylvania,3,1396.3333333333333,211.02211574461418,0.3337862318840581
Sugar Shack → Rhode Island,1,1273.0,,0.5013586956521738
Sugar Shack → Tennessee,1,1272.0,,0.5027173913043479
Sugar Shack → Texas,3,1395.3333333333333,212.7541617297611,0.33514492753623204
Sugar Shack → Washington,1,1638.0,,0.005434782608695676
The Other Factory → Alabama,2,1457.0,257.3868683519033,0.25135869565217395
The Other Factory → Arizona,2,1271.5,0.7071067811865476,0.5033967391304348
The Other Factory → California,21,1325.0,265.12563059802415,0.4307065217391305
The Other Factory → Colorado,2,1273.5,2.1213203435596424,0.5006793478260869
The Other Factory → Connecticut,2,907.5,2.1213203435596424,0.9979619565217391
The Other Factory → Delaware,2,1456.5,260.92240225783604,0.25203804347826086
The Other Factory → Florida,3,1029.3333333333333,212.7541617297611,0.8324275362318841
The Other Factory → Georgia,2,1456.0,258.8010819142764,0.2527173913043478
The Other Factory → Indiana,1,1274.0,,0.5
The Other Factory → Kentucky,2,1271.0,519.0163773909259,0.5040760869565217
The Other Factory → Louisiana,1,907.0,,0.998641304347826
The Other Factory → Maryland,1,1274.0,,0.5
The Other Factory → Massachusetts,3,1150.6666666666667,211.02211574461415,0.6675724637681159
The Other Factory → Missouri,1,1275.0,,0.49864130434782605
The Other Factory → Nevada,1,1638.0,,0.005434782608695676
The Other Factory → New Hampshire,2,1088.5,258.0939751330898,0.7520380434782609
The Other Factory → New Jersey,3,1395.3333333333333,211.02211574461418,0.33514492753623204
The Other Factory → New York,14,1351.9285714285713,326.8188075479026,0.39411878881987594
The Other Factory → North Carolina,1,1635.0,,0.009510869565217406
The Other Factory → Ohio,3,1272.0,1.7320508075688772,0.5027173913043479
The Other Factory → Oregon,2,1089.0,258.8010819142764,0.751358695652174
The Other Factory → Pennsylvania,7,1273.0,210.45981405801285,0.5013586956521738
The Other Factory → Rhode Island,1,1273.0,,0.5013586956521738
The Other Factory → South Carolina,1,1273.0,,0.5013586956521738
The Other Factory → Tennessee,3,1395.6666666666667,211.61364165226522,0.3346920289855071
The Other Factory → Texas,9,1191.5555555555557,304.5181074710957,0.6120169082125603
The Other Factory → Virginia,4,1180.5,181.674617563012,0.6270380434782609
The Other Factory → Washington,4,1275.0,298.0234890071586,0.49864130434782605
Wicked Choccy's → Alabama,22,1272.7272727272727,252.84291788685942,0.5017292490118577
Wicked Choccy's → Alberta,8,1274.375,338.3873256238436,0.4994904891304348
Wicked Choccy's → Arizona,105,1322.1142857142856,273.20323212574897,0.43462732919254665
Wicked Choccy's → Arkansas,27,1273.5185185185185,303.38213658309036,0.5006541867954912
Wicked Choccy's → British Columbia,4,1364.75,349.98321388318044,0.3766983695652174
Wicked Choccy's → California,823,1320.3268529769136,262.50029098941025,0.43705590628136737
Wicked Choccy's → Colorado,70,1319.8428571428572,256.20217535841715,0.4377135093167702
Wicked Choccy's → Connecticut,31,1272.8709677419354,267.3891972307388,0.5015340112201965
Wicked Choccy's → Delaware,49,1273.7142857142858,210.8829651726281,0.5003881987577639
Wicked Choccy's → District of Columbia,2,1275.0,0.0,0.49864130434782605
Wicked Choccy's → Florida,161,1305.0931677018634,250.265778754363,0.45775384823116383
Wicked Choccy's → Georgia,65,1346.1538461538462,251.88348191482982,0.4019648829431438
Wicked Choccy's → Idaho,7,1325.0,328.43264149593904,0.4307065217391305
Wicked Choccy's → Illinois,210,1329.1285714285714,266.256428622181,0.42509704968944106
Wicked Choccy's → Indiana,54,1402.462962962963,257.76533960268836,0.3254579307568437
Wicked Choccy's → Iowa,14,1403.7857142857142,272.0014645241762,0.3236607142857144
Wicked Choccy's → Kansas,9,1314.0,337.8424188878597,0.44565217391304346
Wicked Choccy's → Kentucky,58,1323.8103448275863,268.999344999956,0.43232290104947513
Wicked Choccy's → Louisiana,15,1272.2666666666667,337.9273942868849,0.5023550724637682
Wicked Choccy's → Maine,2,908.0,0.0,0.9972826086956522
Wicked Choccy's → Manitoba,10,1455.6,192.9007804834162,0.25326086956521754
Wicked Choccy's → Maryland,41,1326.7073170731708,264.93803463285894,0.428386797454931
Wicked Choccy's → Massachusetts,54,1334.4444444444443,253.27601966701243,0.4178743961352659
Wicked Choccy's → Michigan,100,1291.85,239.8593600972508,0.4757472826086958
Wicked Choccy's → Minnesota,45,1330.6888888888889,310.75646868292665,0.4229770531400966
Wicked Choccy's → Mississippi,22,1240.4545454545455,222.88962189788813,0.5455780632411067
Wicked Choccy's → Missouri,29,1311.103448275862,298.1196242195866,0.44958770614692656
Wicked Choccy's → Montana,7,1221.857142857143,389.89760560580885,0.5708462732919255
Wicked Choccy's → Nebraska,14,1299.2857142857142,225.09773213204312,0.46564440993788825
Wicked Choccy's → Nevada,12,1182.25,226.37303284622928,0.6246603260869565
Wicked Choccy's → New Brunswick,4,1273.25,298.4296399488496,0.5010190217391304
Wicked Choccy's → New Hampshire,11,1340.090909090909,275.30072813033195,0.41020256916996056
Wicked Choccy's → New Jersey,59,1335.3898305084747,216.57458832603515,0.41658990420044195
Wicked Choccy's → New Mexico,17,1488.8823529411766,226.43042042560805,0.20804028132992314
Wicked Choccy's → New York,436,1311.883027522936,245.01327683661424,0.4485284952134023
Wicked Choccy's → North Carolina,101,1352.7623762376238,261.44093591153035,0.39298590185105464
Wicked Choccy's → North Dakota,2,1637.0,0.0,0.006793478260869512
Wicked Choccy's → Nova Scotia,6,1272.6666666666667,326.91446383827474,0.5018115942028984
Wicked Choccy's → Ohio,189,1313.3544973544974,267.57040481995995,0.4465292155509546
Wicked Choccy's → Oklahoma,25,1332.0,250.49417824239603,0.4211956521739131
Wicked Choccy's → Ontario,30,1248.5666666666666,286.48700799011186,0.5345561594202899
Wicked Choccy's → Oregon,43,1316.1627906976744,242.4143373718956,0.4427135995955511
Wicked Choccy's → Pennsylvania,227,1339.2202643171806,263.6735460367152,0.41138551043861327
Wicked Choccy's → Prince Edward Island,4,1457.0,211.31019852340302,0.25135869565217395
Wicked Choccy's → Quebec,24,1243.5833333333333,322.0927380181956,0.5413269927536233
Wicked Choccy's → Rhode Island,21,1359.6666666666667,280.1016482160242,0.38360507246376796
Wicked Choccy's → Saskatchewan,2,1457.0,258.8010819142764,0.25135869565217395
Wicked Choccy's → South Carolina,19,1234.2105263157894,240.89914416788338,0.5540617848970253
Wicked Choccy's → South Dakota,3,1152.0,422.62039704680603,0.6657608695652174
Wicked Choccy's → Tennessee,67,1393.7611940298507,241.35828325442333,0.3372809863724855
Wicked Choccy's → Texas,388,1315.6082474226805,272.9403984763616,0.4434670551322276
Wicked Choccy's → Utah,23,1273.4782608695652,290.60233208806125,0.5007088846880907
Wicked Choccy's → Vermont,5,1418.6,200.2855461584785,0.30353260869565235
Wicked Choccy's → Virginia,106,1238.877358490566,254.77402509563655,0.5477209803117311
Wicked Choccy's → Washington,221,1375.7239819004526,270.80298241690485,0.36178806807003727
Wicked Choccy's → West Virginia,2,1639.0,0.0,0.0040760869565217295
Wicked Choccy's → Wisconsin,47,1312.2340425531916,205.32532116512877,0.44805157261794626
